"logFC" "logCPM" "F" "PValue" "FDR"
"HOXA4" 7.7302596038688 3.07341869461621 99.2023027857011 1.5427001714191e-06 0.000380775698354334
"ARHGAP10" 3.42954343874974 5.58680889932112 98.3326907580555 1.6066560654622e-06 0.00038333518798595
"MYLK" 4.53238335656526 9.29340729273346 98.3196435456103 1.60763956562099e-06 0.00038333518798595
"POSTN" 7.44146313940858 4.83573187046629 98.1394904156373 1.62129356649691e-06 0.00038333518798595
"PDGFRL" 4.00485614491076 3.36340107221375 97.3915853995859 1.67948548741645e-06 0.00038333518798595
"HOXB7" 6.13157792266651 1.21063784115039 97.3672321658424 1.68142203437811e-06 0.00038333518798595
"KANK2" 4.41877701065459 8.10386636297115 97.2425812087493 1.6913761707158e-06 0.00038333518798595
"LOC107987350" 8.39816424742291 1.00495376128714 97.1197083488735 1.70125751318224e-06 0.00038333518798595
"EMX2OS" -5.9363946921701 4.83459492455642 97.0678819580791 1.7054460886163e-06 0.00038333518798595
"HOXB-AS3" 10.1146725977452 2.46077633395778 97.0527648018572 1.70667017490739e-06 0.00038333518798595
"CACNA1C-AS1" 3.74248883330135 2.54908563745644 96.8163725429206 1.72594930164804e-06 0.000383827200636798
"BOC" 3.04471572787866 6.22104384352934 95.9848986894013 1.7958667295684e-06 0.000386298879351758
"ATP1B2" -4.05073279618004 7.4698131468457 95.9333652555554 1.80031075022877e-06 0.000386298879351758
"COL6A3" 7.89162787989165 8.33509820322527 95.8645982428884 1.80626146579141e-06 0.000386298879351758
"GATA6" 5.15594536061964 1.4955163827761 95.744823686053 1.81668247727599e-06 0.000386298879351758
"LOC105374800" -6.08209036084006 1.48434073688766 95.6719639120787 1.82305690803109e-06 0.000386298879351758
"ARX" -10.0568955639988 3.18930210484789 95.456977653147 1.84202269398833e-06 0.000386669829249271
"LOC101448202" 5.84939586727227 1.03390577095305 94.8880916222587 1.89336128110997e-06 0.000391254895322174
"MRGPRF" 6.27015063718121 6.27363606600419 94.6263339731267 1.91755855114556e-06 0.000391254895322174
"SEC14L2" -3.53818097617768 5.0553198314895 94.5145317388448 1.92800657364292e-06 0.000391254895322174
"ANGPTL1" 5.19017190943756 4.76396026606759 94.3546135725151 1.9430699176252e-06 0.000391254895322174
"PTGIS" 6.03600972775867 5.1286097463769 94.2714245387504 1.95096159013773e-06 0.000391254895322174
"ADAMTSL3" 5.11207174358183 4.4841603767368 93.4320647882549 2.03277520246332e-06 0.000404054547102022
"AIFM3" -6.43003225111257 4.97151296987921 92.8258331328284 2.09443026466562e-06 0.00041265787872504
"TPM2" 6.22013841595352 12.0695552147653 92.5620550114117 2.12195544080314e-06 0.000414445575268516
"TSPAN18" 4.33118224274054 5.41194800348565 91.1833025179103 2.2730886368878e-06 0.000436532702351442
"NTRK2" -5.10992577785304 7.89472901831563 90.8069681506943 2.31656032450303e-06 0.000436532702351442
"IL17D" -3.90175543644311 5.46944222025853 90.5769502287536 2.34362126245666e-06 0.000436532702351442
"ALDH1L1" -4.20369012839084 6.64109346513845 90.5630379211071 2.34527012121171e-06 0.000436532702351442
"FGF1" -4.60170948630662 6.14337810407565 90.5405698490977 2.34793592865938e-06 0.000436532702351442
"RNA18SN1" -2.8951935353346 7.82307165277833 90.5093003308824 2.35165206288787e-06 0.000436532702351442
"GPC3" 4.83311604789737 2.59341018679479 88.8027801326923 2.56558826834348e-06 0.000466032102760307
"BAALC" -6.18070745587362 7.3471212420408 88.6923527397634 2.58021871904939e-06 0.000466032102760307
"SALL3" -9.02392096957824 1.22617715753985 88.5289221493956 2.60205546780293e-06 0.000466032102760307
"ASPN" 5.55049024537679 4.28657867349668 88.488392396592 2.60750507397178e-06 0.000466032102760307
"SOX21-AS1" -7.51504186530917 1.33125025213336 88.4379159264315 2.61431124828808e-06 0.000466032102760307
"MAP7" -3.92447411052512 3.94662717621806 88.1816340539016 2.64919821652741e-06 0.000468532607412772
"FOXG1" -11.5005559772964 3.65352879842678 131.626353510657 2.76799235758644e-06 0.000485717783935539
"UGT8" -5.43700225195938 3.04072926829177 87.1214926216442 2.79957374537164e-06 0.000487451363525523
"TTYH1" -4.41053607275653 6.80959282338635 86.3629107994085 2.91347730943917e-06 0.000503381644979333
"MYOCD" 6.5424114030535 5.09996737697396 85.5352991643563 3.04414360381561e-06 0.000519525402852999
"COL6A2" 6.18891592833454 10.1535237628433 85.4234553233205 3.06233577354939e-06 0.000519525402852999
"SFXN5" -4.20381643764403 6.63179090943016 85.3353629297197 3.07675639177883e-06 0.000519525402852999
"GPR37L1" -4.99401106925814 5.73800734870924 85.1978220521579 3.09943475278491e-06 0.000519525402852999
"STOX1" -5.22768011939234 3.50751158400268 84.5213424650355 3.21393557180677e-06 0.000534727458358161
"AHNAK2" 3.41988195228012 6.63668039402367 84.2382492279747 3.26335258932436e-06 0.000538957077270694
"TRNT" -5.8219832675793 3.81197093170561 83.7270417800429 3.35491688170665e-06 0.000550034949489146
"HOXA-AS2" 6.81633619200307 1.04273887354515 83.1199654981322 3.46768422446894e-06 0.000562933142094542
"COL14A1" 5.26676280355887 5.58101715755967 83.0355912688483 3.48371429371539e-06 0.000562933142094542
"SLC1A4" -2.85620225911438 5.6411129647211 82.8681274321688 3.51579423350728e-06 0.000564058959134337
"RIDA" -2.72305458012623 4.30833725043049 82.077313798465 3.67215506892534e-06 0.000582884754884003
"CPA3" 7.69073643269622 1.56988707120968 82.0139628963483 3.68503785198915e-06 0.000582884754884003
"HOXB6" 9.05812992356223 2.3239696469502 81.5126367889776 3.78891901762705e-06 0.000593229498062879
"STON1-GTF2A1L" 5.30346817400044 3.86507759471687 81.4447178507202 3.80326110685431e-06 0.000593229498062879
"LOC107985505" -8.75942521991374 0.970801515014727 81.2355340814301 3.84784396248844e-06 0.000596044298216916
"FOXD3-AS1" 6.72816654691306 1.18609350503331 81.041950047059 3.88966118406262e-06 0.000596786340926478
"ADGRG3" -3.11281347376915 5.74062200716426 80.9680233397095 3.90577410249732e-06 0.000596786340926478
"CASZ1" 4.22469382787168 5.7657353135198 80.4410841799714 4.02297161190413e-06 0.000609775248956699
"ADGRV1" -7.7447195934269 4.57292902030305 80.2766049642372 4.06041374002242e-06 0.000609775248956699
"LIMS2" 3.87140798101814 7.75168090582667 80.225088131777 4.07222685292306e-06 0.000609775248956699
"PDLIM3" 4.07703640004571 9.83191524533549 79.6651807609915 4.20331101367422e-06 0.000625235554159845
"SRF" 2.24227150393965 6.97099595523152 79.3836507725381 4.27113086046025e-06 0.000631143883268406
"POPDC2" 6.47336619414138 5.680334872953 78.854197298989 4.40226237235089e-06 0.000640211075789773
"FEZF2" -9.44059728836039 1.62620436947168 78.8006605936661 4.41578881717048e-06 0.000640211075789773
"CPE" -4.05885280373843 8.56164373649053 78.7919242859594 4.41800083466519e-06 0.000640211075789773
"LINC01105" -7.11956224341673 2.88697419585737 78.5686840208371 4.47497805867938e-06 0.000641501910389557
"ANGPTL2" 4.26155132690748 6.56059914280751 78.4695835142597 4.50055334121242e-06 0.000641501910389557
"SLMAP" 3.53388392809731 7.03609280456312 78.3506235544236 4.53148558285615e-06 0.000641501910389557
"CAPN6" 8.67005084380475 3.24837352167858 78.3136496010703 4.54115149601262e-06 0.000641501910389557
"SEPT4" -3.57935813368176 6.57254158391462 77.9309120274412 4.64267469614835e-06 0.000651744477188675
"GAL" 5.10336410060124 2.71227815511966 77.5910992491179 4.73509907649084e-06 0.000660590437000378
"MGP" 5.83870538350517 8.36328102313858 77.129862831252 4.86410271189079e-06 0.000673579138481473
"CCDC69" 4.32236271359781 7.79100603155022 77.0454027377493 4.88817949211879e-06 0.000673579138481473
"SLC25A18" -4.27019171535386 5.95589553919189 76.8485285757886 4.94485858093067e-06 0.000674734775664364
"SIGLEC1" 4.20673036197095 4.07137873911261 76.8079228990968 4.95664654221184e-06 0.000674734775664364
"SYPL2" 2.62509703051425 6.35048932500662 76.5192331625417 5.04143212791625e-06 0.00068214221099474
"RNA18SN3" -3.02931557949816 6.44017150028389 76.206649578713 5.13520305691934e-06 0.000690669436296199
"COL6A1" 4.34320163988743 10.1132265168899 75.5474222390977 5.33990756918367e-06 0.000713926570901395
"PGM5" 6.4662184510967 7.35794075956539 75.0412656563713 5.50374176238075e-06 0.00072820325570753
"KCNJ16" -6.17657039698391 2.21498383577398 75.0176447704761 5.51153347893149e-06 0.00072820325570753
"LOC105377896" 8.2152749406306 1.33432691621426 74.8211988803256 5.57684902941073e-06 0.000732524011985933
"CCL21" 10.510873651985 4.82740574396923 74.5691057726435 5.66203096434152e-06 0.000739388822616714
"LOC105375634" 5.48838062757261 1.8023025369968 74.2256589224971 5.78060477241862e-06 0.000743716038657311
"ALDH4A1" -3.47032540298665 6.41964937644125 74.2094020627437 5.78629079205062e-06 0.000743716038657311
"HEPN1" -6.01835326218671 5.2195144244843 74.1859595509163 5.79450188170738e-06 0.000743716038657311
"HPGD" 5.6409109484215 3.14002220008008 74.0774930082366 5.83267619166289e-06 0.000744362158755341
"SYDE2" 3.70160266720411 3.68195156446824 73.7776405113676 5.93978694555284e-06 0.000750314272831776
"TRNS1" -5.17919154346181 8.69491671955708 73.7166668740157 5.96185495564221e-06 0.000750314272831776
"APBA2" -5.45814737185984 5.28630610457268 73.6680218596077 5.97953140273754e-06 0.000750314272831776
"HOXD4" 9.28397787995557 2.94499800081192 73.2224275055337 6.14440786520675e-06 0.000761241915796619
"SLC6A11" -8.99044617316258 4.3609230113176 73.0748915440012 6.20019536613231e-06 0.000761241915796619
"DCDC2" -5.05126474568971 0.393422070195539 73.0320815549075 6.21649652736107e-06 0.000761241915796619
"SLC9A3R1" -2.91637154305316 4.84736938768118 73.0275097470133 6.21824041156277e-06 0.000761241915796619
"PCSK7" 3.36642738589898 7.44823554544462 72.9311087883228 6.25514877956354e-06 0.000761241915796619
"KNDC1" -4.58633042306856 5.20569615493568 72.8880207262944 6.2717304846332e-06 0.000761241915796619
"SMYD1" 7.6753184128299 7.50107163956792 72.7220903094937 6.3360800575632e-06 0.000761241915796619
"GCSHP5" -2.40787684010981 5.26741963702482 72.699363194419 6.34495536175568e-06 0.000761241915796619
"RAB11FIP4" -4.80102643135818 5.24916320069794 72.6312519041272 6.37164330037685e-06 0.000761241915796619
"SVIL-AS1" 3.03997734960056 7.64416621376645 72.382035392249 6.47044713623026e-06 0.000768956154110412
"CYP46A1" -5.3268783858171 4.7353822005069 72.2029231798571 6.54259291725691e-06 0.00077343778691846
"AIF1L" -4.34969933285857 5.83714871929799 72.0162348069568 6.61881903486247e-06 0.000774677935189815
"NPAS3" -3.09304035089615 3.78999660219781 71.9509516720398 6.64572546401922e-06 0.000774677935189815
"ADH1B" 5.96015865806074 6.59824122818444 71.9148130121395 6.66067637387804e-06 0.000774677935189815
"APLP1" -4.37801949628897 6.76186901264195 71.7672672986441 6.72213727887745e-06 0.000774677935189815
"ATP2B4" 2.67425453752989 8.0876219215736 71.7591624886572 6.72553302889515e-06 0.000774677935189815
"TEAD2" 3.39425550983429 4.99968614507817 71.4000382068937 6.87808409536465e-06 0.000786959821627565
"TMEM132A" -3.12316072721458 5.68485781113183 71.3440612340227 6.90223431105606e-06 0.000786959821627565
"EMILIN1" 4.30142262796823 6.97187670617807 70.5258396847693 7.26711244999225e-06 0.000824376832016545
"HOTAIRM1" 5.21196865359434 3.01012372086232 70.2455149926892 7.39740810225196e-06 0.00083109544738944
"OLIG2" -7.54813256433977 3.1451523108096 70.1898925503926 7.42359343434124e-06 0.00083109544738944
"APOE" -4.61137922313691 8.26288126318854 70.160777786153 7.43734405971583e-06 0.00083109544738944
"CALD1" 4.03767566757228 9.17302455595581 69.8869546029297 7.56817327497696e-06 0.000841528415491374
"RRAS" 3.12859370978054 6.06496441042551 69.7346922168914 7.64211549552828e-06 0.00084556431598552
"WNT9A" 5.65321425574356 5.86491963722212 69.4722180762708 7.7716226554124e-06 0.000851808090098378
"LOC107984737" 6.65830978895097 1.94861014131155 69.4666592164788 7.77439377009783e-06 0.000851808090098378
"SLC7A11" -5.78612345603996 4.17908788758571 69.1923867653156 7.91260246492615e-06 0.000860299118753063
"FAM46C" 3.09250678142699 4.26297186039023 69.1219827865107 7.94855350075787e-06 0.000860299118753063
"ALPK3" 3.10915190627687 8.08786001161648 69.0598265326848 7.98045575105831e-06 0.000860299118753063
"TNS1" 4.45928268492411 10.0034172459797 69.0120178711403 8.00509842925027e-06 0.000860299118753063
"SLC39A12" -8.04109269324772 3.29668626783224 68.8336070440343 8.09786808534048e-06 0.000861068210007575
"RNA45SN3" -2.72762758005404 7.72935485117968 68.763494669507 8.13467731133697e-06 0.000861068210007575
"LINC00320" -7.22608520746963 1.95380697086354 68.614286235024 8.21368194537523e-06 0.000861068210007575
"TRABD2B" 4.77099296767837 2.84061891051384 68.5456346730634 8.25034113959556e-06 0.000861068210007575
"ABAT" -4.07778796173202 6.30981015975717 68.5403402028119 8.25317646643095e-06 0.000861068210007575
"MAPK4" -3.28947557104825 5.88899014153648 68.4755461975841 8.28797012551937e-06 0.000861068210007575
"KCNJ10" -5.97981041111118 5.4857522750288 68.3147891173475 8.375056945353e-06 0.000861068210007575
"RNASE4" 3.89275269834695 4.73766561705035 68.3078872021013 8.37882040708282e-06 0.000861068210007575
"SLC5A7" 8.64698718835079 2.22503676764167 68.2395406973701 8.41619787877509e-06 0.000861068210007575
"SCD5" -3.37919626308539 6.85043396776296 68.2288851166233 8.42204321588058e-06 0.000861068210007575
"PREX1" -2.50838489002844 6.08271173639925 68.2037432669546 8.43585458937432e-06 0.000861068210007575
"TPSAB1" 7.60389840121248 3.22912429309228 68.1174744659195 8.48345215687864e-06 0.000861068210007575
"DNM3OS" 5.35076843253884 2.54592808619046 68.0684848709055 8.51062475498337e-06 0.000861068210007575
"COL12A1" 5.25374429863609 7.17520139628735 67.7931895634482 8.66527509950996e-06 0.000869925508586077
"CDH20" -7.15344616351616 3.21711349824971 67.7749682300496 8.6756294877023e-06 0.000869925508586077
"HPCA" -6.51312538335597 4.94875943819044 67.6031566276125 8.77399529242484e-06 0.000875701713821531
"CHRNA3" 6.19343781154169 3.34122060802991 67.481916557919 8.84421285134013e-06 0.000875701713821531
"PGM5-AS1" 7.93327576710893 2.84213051110843 67.3189127915061 8.93968290566761e-06 0.000875701713821531
"ADGRG1" -3.19830531974408 6.91499254142919 67.2848358663943 8.95979732157115e-06 0.000875701713821531
"TAGLN" 6.12449660352068 11.3083932817558 67.2117781125542 9.00310387039792e-06 0.000875701713821531
"HOXA2" 7.64963541836315 0.379865561115283 67.2098453519725 9.0042529578901e-06 0.000875701713821531
"LUM" 7.20513460744897 6.06253223086692 67.2066581203413 9.00614825220487e-06 0.000875701713821531
"CCEPR" -4.56319628326094 2.14751442672513 66.9555281232958 9.15699797577555e-06 0.000886531601439201
"AMER2" -4.5629207976293 4.63571099485576 66.7562639460911 9.27885128560435e-06 0.000894473299253044
"DCN" 3.65519478224685 8.61427152556323 66.6096087067795 9.36977620529472e-06 0.000898919408010329
"CFAP74" -5.72767901358179 0.801753888043332 66.5532277478264 9.4050158444605e-06 0.000898919408010329
"S100A1" -4.93350957856385 8.17964361536811 66.2221300081663 9.61519658877062e-06 0.000915114112628715
"SLC4A8" -3.56943956699504 4.05030576139891 65.7750828231981 9.90798701250437e-06 0.000929822223891364
"CCL11" 11.7478286779725 2.27194507609406 94.0477475898583 9.91199805614634e-06 0.000929822223891364
"NWD1" -6.5164875887661 2.88773766967824 65.7159490697963 9.9475115692364e-06 0.000929822223891364
"CDS1" -4.6752725640655 2.84024804066379 65.623554474558 1.00096464412434e-05 0.000929822223891364
"ATP13A4" -5.61286958302328 3.80454812116429 65.6029634269013 1.00235571346467e-05 0.000929822223891364
"MT3" -6.69915346265796 7.67837324276491 65.5835512345345 1.00366926534311e-05 0.000929822223891364
"HEPACAM" -5.85093534421365 5.70660834290627 65.5498935422886 1.00595165133165e-05 0.000929822223891364
"LBR" 2.9480771404687 5.80693818941335 65.4811782369972 1.01063069974511e-05 0.00093031869454815
"LOC105371009" 6.96443854776231 2.52203346176636 65.4035288597478 1.0159495302574e-05 0.000931397648943324
"TM4SF4" 7.92012770041432 1.05407103959628 65.1346617117876 1.0346274710167e-05 0.000938946757809794
"DM1-AS" 2.8823446052275 4.63240992941195 65.1154550869668 1.03597742057201e-05 0.000938946757809794
"ASPHD1" -4.58696343817689 4.63470102552629 65.1048320809418 1.03672497189274e-05 0.000938946757809794
"KLHL32" -3.45386735975176 2.93866866533307 64.6251728835878 1.07116297488461e-05 0.000966240625657957
"WSCD1" -3.41066584522986 3.91989045616747 64.342390265551 1.09210850993664e-05 0.000981193969667476
"HOXB5" 9.86649667167661 2.24544222696938 64.2778271185932 1.09695928408716e-05 0.00098162559680804
"HHATL" -6.03774790220204 6.67325821930078 64.1323801677122 1.10798198890826e-05 0.000987554898923353
"PPP2R2C" -5.23440972395196 5.90041928252312 63.7679215492913 1.13619094014598e-05 0.00100809795996293
"PPP1R12A" 2.15757243790383 6.6013035699172 63.7194568865494 1.14000659734912e-05 0.00100809795996293
"ANO1" 4.10900533463078 4.83060212791073 63.6482791319442 1.14563835442145e-05 0.00100910521877098
"CCL14" 5.87888730144601 3.96872004005727 63.4459502163735 1.16183018942186e-05 0.00101936983924236
"NCAN" -8.13830845779513 5.5929539880923 63.3430712409441 1.17016846734538e-05 0.00101964561730839
"ALDH1L1-AS2" -5.25389578432326 1.99021927285384 63.2967949184634 1.173942513986e-05 0.00101964561730839
"LOC112268284" -2.59904377963914 6.65745635588114 63.2219701028446 1.180075736773e-05 0.00101964561730839
"RNA28SN3" -2.64554473401745 6.91674839066238 63.2192062724676 1.18030301634025e-05 0.00101964561730839
"SLC6A1" -5.13078018036731 6.08878573232014 63.0697907290294 1.19266845160544e-05 0.00102181982486655
"ALDH1B1" 3.66549480538296 6.29232674302699 63.0412638374288 1.19504692015595e-05 0.00102181982486655
"SSC5D" 4.56437451394777 5.32967086559942 63.0242555221046 1.19646771710922e-05 0.00102181982486655
"PPP1R1B" -4.42452841388043 6.13621244648968 62.9447209948555 1.20313860036596e-05 0.00102362485237954
"LOC112268024" 4.78995649549801 3.2415494015778 62.7292917852606 1.22143268183361e-05 0.00103345122684018
"LOC112268271" -6.13789974817327 1.19176851291735 62.7006446133003 1.22389041600769e-05 0.00103345122684018
"TPSB2" 6.84298605187557 3.27971152618662 62.5902287097086 1.23341898103711e-05 0.00103759639449717
"GALNT12" 4.83762350506142 3.91949232590365 62.4102018207332 1.24914617869538e-05 0.00104326912249927
