"logFC" "logCPM" "F" "PValue" "FDR"
"NACAD" -3.50927347593376 4.99138483817728 105.688420136089 1.15080963492166e-06 0.000168222231005187
"IPO13" 2.88907041164642 7.08044283767923 105.634236362025 1.15355063858406e-06 0.000168222231005187
"TATDN1" 2.70506607335007 5.40040402591609 105.456902082027 1.1625763477435e-06 0.000168222231005187
"TNNI1" 11.9095218651458 9.82617203645457 105.173237063704 1.17719055303796e-06 0.000168222231005187
"NDUFB9" 3.16592924330382 7.74068495151175 105.106363762981 1.18066782042767e-06 0.000168222231005187
"PPP1R3A" 12.7259052508425 4.85838980259344 164.020048034934 1.18597844890391e-06 0.000168222231005187
"KLHL40" 12.4302234021415 7.74630566164719 104.973128210744 1.1876325471426e-06 0.000168222231005187
"ASB11" 10.2728518134595 4.31779443528976 104.912187662414 1.19083454564911e-06 0.000168222231005187
"MYOM3" 11.3240183194756 7.73477859151616 104.363563572477 1.2201316927077e-06 0.000171283612186922
"NRAP" 11.6893086711232 10.3014100486646 104.13197153631 1.23275780477087e-06 0.000171981199086699
"XIRP2" 11.8613926987964 9.80231547684897 103.560267251695 1.26460294771535e-06 0.000175334856843423
"LOC102724064" 5.25502927298054 2.71790764617231 103.148174335288 1.28816991851152e-06 0.000177506653617714
"ART3" 5.83254630058258 6.64128950097527 102.973464713324 1.29831996756755e-06 0.000177814419460578
"LOC112268289" 5.71539971636193 3.39312745404929 102.613984591951 1.31950771365275e-06 0.000179514941910127
"CDH15" 8.12986445821543 4.9191250139559 102.493176529911 1.32672099893509e-06 0.000179514941910127
"MME" 6.45548144758788 4.12587213283594 102.116548403443 1.34951424274544e-06 0.00018050016075851
"MYH1" 12.8411007079296 11.6547879661955 102.000886741927 1.35660798695678e-06 0.00018050016075851
"HPN" 5.16392727957884 3.11015598603798 101.589304047041 1.38221622917359e-06 0.00018050016075851
"EBF4" -4.17609295871237 4.90037153047529 101.542921593766 1.38513827184524e-06 0.00018050016075851
"SCD5" -4.42041828246768 6.85043396776296 101.526642461014 1.38616559373239e-06 0.00018050016075851
"PTK7" -4.27630682163446 3.05063710053826 101.500970602646 1.38778751533021e-06 0.00018050016075851
"SEMA3E" -6.19362452518761 1.74592146758059 101.394859332413 1.39451569185863e-06 0.00018050016075851
"MYPN" 11.1200572952791 7.42749371372172 101.335576998084 1.39829161533238e-06 0.00018050016075851
"MOXD1" -5.31001001466911 3.73948990364521 100.519673292118 1.45152548978185e-06 0.0001858314744039
"PPDPFL" 12.9540973759391 7.00364997105691 100.373415711263 1.46132305563821e-06 0.0001858314744039
"CFAP61" 8.63215822430106 5.1453144884219 100.327538995436 1.46441258045012e-06 0.0001858314744039
"SCRN1" -3.66660176490579 6.78981981643368 99.7089711719847 1.50684360858495e-06 0.000189981536958127
"GAMT" 5.7608903697381 7.46533743497222 99.6062316377782 1.51403299565935e-06 0.000189981536958127
"MAGED4" -5.98547846561934 4.10993645661134 99.2895909420141 1.53645053876743e-06 0.000191723419729196
"LRAT" -7.8362686481264 2.09324276604511 99.0374476953987 1.55458672951421e-06 0.000191818020307975
"HHATL" 8.23288978953097 6.67325821930078 98.978416203225 1.55886974923305e-06 0.000191818020307975
"MDK" -3.24610640463956 4.14423132964801 98.9240224669025 1.56282880176125e-06 0.000191818020307975
"ALCAM" -4.38143417027249 5.25622912987753 98.7391352134684 1.57637622732581e-06 0.000192429274141114
"MLIP" 9.32234698401119 7.47405643863342 98.4988001046518 1.59419753763384e-06 0.000193552815636722
"UBXN10-AS1" -6.65606169991687 1.90270320025583 97.7739545353627 1.64942747526576e-06 0.000198605495748915
"PEBP4" 7.72151448651287 4.74283923144061 97.6100833102384 1.66222977133615e-06 0.000198605495748915
"MAGED4B" -5.37578230450741 4.3715861136555 97.6086707395246 1.662340643818e-06 0.000198605495748915
"KIF1A" -5.94328744786807 8.22116670332139 97.3865005101178 1.67988961231165e-06 0.000199640214720275
"MYH7" 11.7842689428864 11.9071215401963 97.2426821556464 1.69136808096429e-06 0.000199946412981784
"DNASE1L1" 3.84524884803116 6.15072885153215 97.0768270899365 1.70472226711394e-06 0.000200469983464117
"LOC105371768" 4.89716218499021 3.8205603411526 96.2684643978936 1.77164712467978e-06 0.000207071138736668
"IL17RD" -4.06679010714259 3.9561108560574 96.1784308171811 1.77929432243341e-06 0.000207071138736668
"CCND2" -4.69877291691676 6.6167918774579 95.7064742609748 1.82003429549914e-06 0.000210720568614465
"LOC653513" 5.95142496861335 7.72569370927433 95.5221450767272 1.83624884578292e-06 0.00021150761705195
"DCHS2" -4.68371322577235 2.11162735669633 95.3931068136192 1.84770279008378e-06 0.00021174108351057
"VGLL2" 11.5073162491292 4.4000229815068 95.2432898896099 1.86110873008008e-06 0.000211836115870658
"ARX" 10.0364952769314 3.18930210484789 95.0963604569045 1.87436966743462e-06 0.000211836115870658
"DHRS7C" 12.2662386268959 5.15853144910322 95.0206295308893 1.88124888636628e-06 0.000211836115870658
"MAP9" -3.60876558968261 3.57589207398047 94.9657031122575 1.88625720912389e-06 0.000211836115870658
"DGCR6" 5.28605362060056 5.40458980263267 94.6576663046805 1.91464269743207e-06 0.000213954177248864
"ARMC9" -4.14040221726093 4.53601060280585 94.44519861947 1.93452009511224e-06 0.000215105227011465
"ABCA5" 3.29922907032172 6.50885753460542 94.0860769920803 1.96868302881306e-06 0.000217825564089508
"VDAC1" 3.08196754852256 8.12989575685923 93.6012675673086 2.01595677873793e-06 0.000221962770623689
"CPT1B" 4.1052531396692 6.63998898354978 93.3482853698439 2.04116493657179e-06 0.000223641978733361
"GMPR" 4.45599792179893 6.97444460013865 93.0646260098116 2.06988058124824e-06 0.000225560544647028
"TTYH1" -4.92198936112084 6.80959282338635 92.880641376576 2.08876485082434e-06 0.000225560544647028
"F2RL2" -6.97331486574924 1.91543828567167 92.8585677956747 2.09104433920658e-06 0.000225560544647028
"HAND2-AS1" -6.14353532236697 5.5030021475574 92.4976841346741 2.12873819914288e-06 0.000225560544647028
"TSPAN11" -7.42255209488393 5.06088421087751 92.4730698526407 2.13133867117574e-06 0.000225560544647028
"GNG8" -5.73774366751092 1.25941872969968 92.4352163418113 2.13534528692018e-06 0.000225560544647028
"PHYH" 3.74324593135623 6.69027505274084 92.4108674454754 2.1379272737182e-06 0.000225560544647028
"ADPRHL1" 6.66006520292832 5.82848544458257 92.4006287605862 2.1390141137891e-06 0.000225560544647028
"FGL2" -3.69376662570514 5.51246393096231 92.0422872709179 2.17747274509107e-06 0.00022801056725853
"LOC107985246" -3.72852943893653 3.38852607607481 91.9955399769952 2.1825507306257e-06 0.00022801056725853
"AK1" 3.19419756215762 7.96530869970877 91.8451213542534 2.19898673005063e-06 0.000228664078442903
"CHRNG" 12.0456617401125 4.93436222088924 91.2459518972674 2.26594705558841e-06 0.000234541183481895
"PLA2G15" 2.61636245037783 5.0493195731339 91.0968159588821 2.28299186193818e-06 0.000235221468857768
"STAG3" 3.41415225943563 5.58681322980203 90.7751492394796 2.32028132262521e-06 0.000236462848882583
"MYL1" 12.2657507150168 9.6278548030573 90.7560175630094 2.32252208612538e-06 0.000236462848882583
"TOM1" 3.27154192249153 6.89047152666121 90.7210571717602 2.32662346302706e-06 0.000236462848882583
"PTGFRN" -4.74146852421528 6.02219500470652 90.511570706436 2.3513820095546e-06 0.000237902663588315
"STRIP2" 3.96334886684944 4.77515114256465 90.3277786601983 2.37336424184145e-06 0.000237925301814771
"ALPK3" 3.62554786280872 8.08786001161648 90.2665875426406 2.38073752629973e-06 0.000237925301814771
"PRPS2" -3.97880140602048 3.9985789443747 90.2446779444517 2.38338421745797e-06 0.000237925301814771
"GPRC5C" 4.05628609402494 5.33808481078797 89.8430637541638 2.43252996729969e-06 0.000240838203630117
"L1CAM" -6.89506752694366 6.37398975234126 89.8311297297163 2.43400882525429e-06 0.000240838203630117
"FRMD5" -7.23193632445485 3.51293333594521 89.6826723023991 2.45249596820199e-06 0.000241603122551688
"FAM160A1" 5.26846743080668 5.31414181700899 89.4910819791257 2.47660373386203e-06 0.000241958656697576
"NPAS3" -3.85387883428526 3.78999660219781 89.4828196748191 2.47764975025343e-06 0.000241958656697576
"BOC" -2.91931288997878 6.22104384352934 89.0859731029122 2.52852026909923e-06 0.00024501492887212
"DDIT4L" 6.27260003126203 6.01012645012269 89.068699444291 2.53076281102052e-06 0.00024501492887212
"FBLN1" -2.99961399763475 7.10976431977538 88.8467057647345 2.55979624377095e-06 0.000246762160649525
"ADSSL1" 6.0324923117659 7.57995825570944 88.6912261631254 2.58036849290844e-06 0.000247682293671865
"TNNI2" 11.408697067954 9.40149657729231 88.5042833074037 2.60536676303209e-06 0.000248512699834325
"TMEM164" 2.87615010089629 5.39188526294275 88.4613551988829 2.61114808605586e-06 0.000248512699834325
"HAND2" -6.87690647048231 5.95147441390098 88.005235236404 2.67353533550038e-06 0.000253172097001417
"PADI2" 8.37805704646717 7.87301683485653 87.9396791909545 2.68264810499698e-06 0.000253172097001417
