	"10_6_5_11" "9_6_5_11" "purep53" "JMS8-2" "JMS8-3" "JMS8-4" "JMS8-5" "JMS9-P7c" "JMS9-P8c"
"Orc1" 49 55 383 388 163 94 221 31 24
"Cc2d1b" 1901 2354 3710 3203 4320 2853 2693 1535 1265
"Zfyve9" 716 471 1595 1306 1158 1003 1341 267 324
"73133" 101 74 220 197 168 155 204 47 52
"Btf3l4" 278 422 466 412 673 446 435 315 225
"Txndc12" 1423 1776 1367 1212 4515 3425 1078 1279 1179
"Kti12" 416 516 2183 1801 1476 980 1993 342 230
"Rab3b" 11 37 4 9 79 14 5 31 14
"8030443G20Rik" 0 0 0 0 0 0 0 0 0
"Nrd1" 4420 6521 7426 5376 14227 9548 7951 4227 3116
"Mir761" 13 15 14 15 23 34 23 14 7
"Osbpl9" 3377 6133 4336 3530 15017 6726 4262 5354 2897
"Calr4" 38 23 14 5 49 48 5 9 18
"Eps15" 3039 6160 3558 2735 13360 6637 3516 4703 2353
"Ttc39a" 976 3288 322 285 5362 1870 247 1738 810
"Rnf11" 5220 5294 7269 5978 11115 9380 7775 3550 3200
"4930522H14Rik" 0 0 0 0 1 0 0 0 0
"9630013D21Rik" 34 6 19 8 12 28 17 4 12
"Cdkn2c" 209 96 447 386 214 256 284 71 117
"Faf1" 2251 3215 3108 3115 6558 3908 2498 2037 1552
"Dmrta2" 14 13 31 23 33 28 20 5 8
"Elavl4" 1 0 1 0 0 3 0 0 0
"Agbl4" 2 0 1 0 2 4 0 0 1
"Bend5" 807 235 259 295 1007 1970 251 101 469
"Spata6" 413 931 758 764 1695 754 684 706 354
"Slc5a9" 853 217 36 22 995 1162 20 139 392
"Skint8" 12 5 124 194 27 25 142 10 13
"Skint7" 1 0 114 115 3 1 80 5 1
"Skint1" 0 0 2 0 2 0 1 7 0
"Skint4" 0 0 0 0 0 0 0 0 0
"Skint3" 0 0 0 0 0 0 0 0 0
"Skint9" 0 0 0 0 0 0 0 0 0
"Gm12814" 0 0 0 0 0 0 0 0 0
"Skint2" 2 4 2 0 3 3 2 5 0
"Skint10" 0 0 0 0 2 0 0 14 1
"Skint6" 0 0 0 0 1 0 1 6 0
"Gm12816" 266 296 351 284 506 346 277 123 104
"Skint5" 0 2 1 0 1 0 1 26 1
"Skint11" 0 0 1 0 0 0 0 3 0
"Trabd2b" 409 68 2120 3002 207 584 1794 36 175
"Gm12830" 0 2 1 0 0 2 0 1 0
"Foxd2" 4 7 6 2 5 9 2 3 0
"Foxd2os" 1 1 4 2 0 0 0 2 0
"Foxe3" 0 0 1 2 0 0 0 0 0
"Cmpk1" 1917 3029 2061 1428 6061 4681 1820 1796 1315
"Stil" 112 145 736 569 245 189 538 56 58
"Tal1" 2 1 33 34 11 8 71 8 3
"Pdzk1ip1" 668 316 21 20 814 1123 13 230 368
"Cyp4x1" 9 0 0 0 0 24 0 0 7
"Cyp4a29" 0 0 0 0 0 1 0 0 0
"Cyp4a12a" 1 0 0 0 0 5 0 0 1
"Cyp4a12b" 0 0 0 0 0 0 0 0 0
"Cyp4a30b" 0 0 0 0 0 0 0 0 0
"Cyp4a14" 0 0 0 0 0 0 0 0 0
"Cyp4a10" 0 0 32 38 0 0 77 0 0
"Cyp4a31" 0 0 2 3 0 0 5 0 0
"Cyp4b1-ps2" 0 0 1 0 0 0 0 0 0
"Cyp4a32" 0 2 48 32 6 2 89 2 0
"Cyp4b1" 16 19 593 377 151 83 864 76 25
"Efcab14" 1085 1927 3965 4032 4813 2612 4177 1431 787
"Tex38" 1 1 0 2 9 1 0 4 0
"Atpaf1" 61 126 233 140 174 85 75 56 29
"Mob3c" 1130 710 1787 2037 2106 1780 1609 534 544
"Mknk1" 580 846 990 1059 1500 852 861 523 380
"Kncn" 1 2 5 10 4 2 7 0 1
"Dmbx1" 0 2 1 0 2 0 1 0 0
"Faah" 127 1140 43 43 2143 373 48 724 167
"Nsun4" 353 541 1067 988 1232 839 1186 348 259
"Gm12854" 1909 6026 2702 2217 12261 4442 2850 3870 1888
"Uqcrh" 2971 4670 7045 6329 9319 5601 5934 2573 2004
"Lrrc41" 2088 2741 4805 4354 6816 4494 5086 1553 1215
"Rad54l" 90 113 940 737 274 127 492 57 41
"Lurap1" 104 219 99 95 326 143 121 136 75
"Pomgnt1" 1526 4260 3672 3619 8338 3350 3300 2297 1155
"Tspan1" 554 6572 64 77 9371 1734 60 3696 1003
"1700042G07Rik" 1 0 0 1 0 0 1 0 0
"Llph-ps1" 87 76 153 60 105 71 62 33 26
"Pik3r3" 345 785 2732 3045 2293 1447 2436 714 294
"Mast2" 1563 3944 6753 6824 7494 3321 5642 2137 1112
"Ipp" 299 533 625 459 955 376 359 304 199
"Tmem69" 151 180 260 298 433 281 216 159 98
"Gpbp1l1" 2454 2546 2201 1980 5120 3290 1854 1936 1524
"C530005A16Rik" 33 41 8 10 26 25 19 25 22
"Ccdc17" 120 190 109 74 289 225 116 144 77
"Nasp" 2841 1813 12199 11146 5418 5638 9495 1169 1657
"Akr1a1" 10114 18031 20245 16808 35633 18139 15903 10123 6592
"AV051173" 63 36 137 176 81 91 72 32 29
"Prdx1" 6008 9729 14501 15568 25457 15430 12362 6756 4687
"Mmachc" 175 271 553 616 680 376 395 200 164
"Ccdc163" 447 487 737 741 1015 710 719 341 336
"Tesk2" 115 104 399 322 268 208 311 68 66
"Toe1" 755 772 1150 920 1901 1412 851 436 441
"Mutyh" 77 82 167 114 120 71 133 45 47
"Hpdl" 14 23 62 50 85 44 41 18 17
"Gm12996" 1 1 4 4 2 0 6 2 1
"Zswim5" 334 289 19 15 718 615 22 143 216
"Urod" 1181 1764 2526 2146 3794 2286 2009 958 769
"Hectd3" 1306 1623 1628 1824 3245 2127 1450 856 738
"Eif2b3" 401 668 1239 1189 1510 817 845 434 281
"Ptch2" 8 32 1834 1227 25 36 764 58 11
"Btbd19" 197 206 270 400 269 267 215 89 124
"Tctex1d4" 16 18 18 32 26 17 13 8 8
"Plk3" 9984 6289 7342 9303 11991 13316 4686 4420 8718
"Rps8" 4163 4310 6419 8127 13108 10092 7832 3586 3616
"Snord38a" 3 2 5 3 12 11 5 3 6
"Snord55" 69 36 122 12 36 54 56 18 20
"Kif2c" 60 339 1446 941 548 129 632 178 49
"Armh1" 1 20 60 99 33 10 114 7 1
"100862255" 0 0 0 0 0 0 0 0 1
"Tmem53" 111 269 290 300 574 205 175 212 90
"Rnf220" 655 1023 1521 1264 2125 1083 852 612 398
"100503023" 6 7 2 7 26 5 6 6 1
"Eri3" 934 1537 3499 3182 2999 1666 2819 893 666
"Dmap1" 433 555 792 676 936 604 552 317 283
"Klf17" 0 6 0 0 9 3 0 1 0
"Slc6a9" 119 241 768 1067 503 150 525 128 79
"Ccdc24" 3 31 153 133 52 13 186 21 6
"B4galt2" 8 52 1394 1454 97 63 901 24 20
"Atp6v0b" 2474 3701 3001 2364 6269 4072 2677 2007 1552
"Dph2" 140 188 550 431 496 353 526 154 83
"Ipo13" 384 1041 2278 2318 1882 652 1962 720 289
"Artn" 7 11 164 181 15 30 130 4 5
"St3gal3" 710 414 1237 1240 1214 1726 1082 302 384
"Kdm4a" 1908 2882 4424 3952 5790 2681 3332 1991 1346
"Ptprf" 27511 41072 30230 27407 87831 41844 24262 22002 14211
"Hyi" 201 225 551 472 529 284 437 123 109
"Szt2" 2322 2734 3405 3229 4559 2975 3454 1646 1425
"Med8" 577 728 957 806 1930 1433 1029 506 458
"Elovl1" 1859 3204 3479 3097 7925 4197 3472 1920 1359
"Cdc20" 156 284 3623 2153 545 213 1543 138 98
"Mpl" 4 5 2 10 12 0 8 1 2
"Tie1" 12 23 354 243 312 133 585 89 20
"2610528J11Rik" 263 786 58 52 1337 496 38 438 219
"Tmem125" 893 1232 117 97 2347 1547 125 777 578
"Cfap57" 2 3 1 3 4 7 5 4 2
"Ebna1bp2" 1437 1945 4466 3702 4695 3227 3456 1386 1106
"D4Ertd617e" 1 1 4 3 6 1 4 1 0
"Olfr62" 0 0 0 0 0 0 0 0 0
"Olfr1342" 0 0 0 0 0 0 0 0 0
"Olfr1341" 0 0 1 0 0 0 0 0 0
"Olfr1340" 0 0 0 0 0 0 0 0 0
"Olfr1339" 0 0 0 0 0 0 0 0 0
"Olfr1338" 0 0 0 0 0 0 0 0 0
"Olfr1337" 0 0 0 0 0 0 0 0 0
"Olfr1335" 0 0 0 0 0 0 0 0 0
"Olfr1333" 0 0 0 0 0 0 0 0 0
"Olfr1331" 0 0 0 0 0 0 0 0 0
"Olfr1330" 0 0 0 0 0 0 0 0 0
"Olfr1329" 0 0 0 0 0 0 0 0 0
"Olfr1328" 0 0 0 0 0 1 0 0 0
"Gm12863" 5 0 0 1 1 13 0 0 0
"Lao1" 3330 53 61 53 1586 18238 52 13 1741
"Slc2a1" 16102 8025 25609 17284 22924 32872 24540 3260 6502
"100316707" 71 20 28 33 49 166 63 16 47
"Gm19660" 11 3 21 29 30 45 36 1 6
"Zfp691" 178 173 217 154 337 248 207 79 85
"Ermap" 8 5 17 28 17 11 17 8 4
"Svbp" 252 347 929 832 735 536 768 190 173
"Tmem269" 11 10 16 22 18 28 26 12 15
"AU022252" 196 175 309 234 460 332 236 101 111
"P3h1" 281 170 4420 3481 343 537 3337 60 122
"Cldn19" 2 11 11 8 14 2 10 4 1
"Ybx1" 4458 6795 21449 15957 15406 9591 15529 3554 2807
"Ppih" 56 77 109 97 181 125 135 66 55
"Ccdc30" 2 9 37 50 14 9 33 3 3
"100862319" 0 1 0 1 0 0 0 0 0
"Ppcs" 87 181 256 207 398 199 214 90 65
"Zmynd12" 8 27 12 3 36 5 3 13 6
"Rimkla" 1 7 7 10 7 4 2 2 1
"Frg2f1" 31 58 110 136 113 59 128 31 21
"Foxj3" 2812 3058 3890 3810 6272 4695 3292 2431 1909
"Guca2a" 2 4 5 6 2 4 1 1 0
"Guca2b" 1 1 2 0 0 2 3 1 0
"Hivep3" 3152 1239 1444 1244 4665 5762 2826 548 1582
"Edn2" 192 67 65 128 67 85 24 29 55
"Foxo6" 14 37 159 152 136 32 109 34 12
"Scmh1" 564 1495 2493 2882 2887 1023 2172 1046 490
"Slfnl1" 1 2 2 1 3 0 1 0 0
"Ctps" 520 1348 4640 4078 2419 885 4255 1061 430
"Gm8439" 0 2 0 0 1 0 0 0 1
"Cited4" 104 450 51 50 635 171 30 359 182
"Kcnq4" 10 24 26 39 35 35 24 19 19
"Nfyc" 553 543 984 890 1330 999 763 388 426
"Mir30c-1" 0 0 0 1 0 0 1 0 0
"Mir30e" 0 0 0 0 1 0 0 0 0
"Rims3" 24 30 29 37 68 36 22 16 17
"Exo5" 172 327 256 238 798 372 198 193 138
"Zfp69" 77 61 247 257 172 164 229 32 39
"Smap2" 1737 1455 1921 1639 4542 3974 2212 894 1108
"Col9a2" 2275 483 26102 21991 2368 3095 24860 224 1063
"Zmpste24" 2145 3354 5406 5103 8161 5478 4249 2041 1556
"Tmco2" 0 1 0 0 0 1 0 0 0
"Rlf" 3442 2568 4756 2948 6048 6486 6150 2222 2649
"Gm12888" 0 0 0 0 0 0 0 0 0
"Gm8359" 0 0 0 0 0 0 0 0 0
"Gm12886" 0 0 0 0 0 0 0 0 0
"Gm12880" 0 0 0 0 0 0 0 0 0
"Gm12887" 0 2 0 0 10 0 0 0 0
"Gm21404" 1 0 0 0 2 2 0 0 0
"Gm10573" 6 1 0 0 9 9 1 1 4
"9530002B09Rik" 0 0 0 0 0 0 0 0 0
"Ppt1" 4618 3471 7313 8054 10017 10340 7524 2397 3028
"Cap1" 8251 14714 18855 19225 29749 16221 18280 8806 5913
"100504506" 1 2 10 4 3 3 1 1 0
"Mfsd2a" 467 2555 6440 5703 5231 1808 5202 1229 643
"Mycl" 260 1751 240 345 1922 403 125 756 167
"Trit1" 344 836 729 538 1334 748 797 682 333
"Bmp8b" 4 46 11 24 77 16 17 15 6
"Oxct2b" 2 6 19 23 8 2 12 3 1
"Ppie" 736 1560 2346 1832 2344 1111 1444 844 487
"Hpcal4" 11 22 479 708 30 14 740 5 2
"Nt5c1a" 16 8 5 12 29 13 26 1 5
"Heyl" 597 328 91 145 1735 1253 126 96 189
"Gm12900" 1 2 3 0 1 0 2 0 0
"Pabpc4" 4213 2988 3255 2735 7042 7187 2580 1427 1818
"Bmp8a" 24 23 11 24 39 54 14 8 9
"Oxct2a" 3 10 4 5 6 18 4 2 0
"Macf1" 10873 13307 23366 25288 29334 21007 28683 9022 7797
"D830031N03Rik" 328 607 1702 2077 1696 699 1946 353 248
"Ndufs5" 2 19 22 17 25 10 9 7 2
"Akirin1" 1447 2431 4665 3093 6830 4572 4564 1794 1137
"Rhbdl2" 83 356 241 174 445 190 153 218 98
"Gm10572" 2 2 4 11 5 4 7 0 0
"Mycbp" 431 1274 895 776 2174 1191 801 889 419
"Rragc" 3050 2736 3796 3743 7318 6947 3695 1797 2194
"1700057H15Rik" 0 0 0 0 0 0 0 0 0
"4933407E24Rik" 0 0 0 0 0 1 0 0 0
"Pou3f1" 47 39 550 1013 91 82 260 34 16
"Utp11" 734 1020 1629 1276 1985 1268 1448 695 539
"Fhl3" 526 446 2875 1764 1063 908 2758 305 360
"Sf3a3" 1111 1329 3404 2578 2838 2118 2353 728 669
"Mir697" 7 3 10 6 7 10 9 0 4
"Inpp5b" 640 1058 1086 1090 1815 1055 901 704 501
"Mir698" 0 0 0 0 0 0 0 0 0
"Mtf1" 1171 1743 2216 2137 4831 3095 2410 1112 868
"1110065P20Rik" 131 216 536 272 311 180 271 86 64
"Yrdc" 1377 1425 3513 2985 4486 3785 2831 971 980
"Maneal" 2 2 20 21 3 1 9 1 0
"Epha10" 0 0 0 0 0 0 1 0 0
"1700125G02Rik" 0 0 0 0 0 0 0 0 0
"Cdca8" 164 208 2157 1544 461 232 1177 114 88
"9930104L06Rik" 128 137 289 293 354 231 227 107 56
"Rspo1" 975 831 121 76 1348 271 130 78 258
"Gnl2" 5102 4155 7753 5600 11958 11159 9792 3126 3532
"Dnali1" 4 11 16 15 22 12 9 2 4
"Snip1" 921 973 1618 1496 2498 1801 1478 637 600
"Meaf6" 284 372 795 733 952 585 707 276 208
"Zc3h12a" 20558 7712 2612 2502 30727 41825 3144 3099 8017
"Grik3" 2264 908 9276 15357 3938 2867 10811 415 1362
"2610028E06Rik" 0 0 0 0 0 0 0 0 0
"Csf3r" 1 2 2 2 2 1 2 0 1
"Mrps15" 633 879 1583 1242 1884 1275 1212 568 427
"Oscp1" 82 164 600 501 344 125 341 111 29
"Lsm10" 165 229 216 149 402 175 136 131 105
"Stk40" 23818 11081 15375 11268 31116 34886 20028 5383 9775
"Eva1b" 1378 932 723 697 2097 1983 715 404 640
"Sh3d21" 1791 1092 733 907 2685 3413 1062 592 982
"Thrap3" 6016 5617 8903 6511 12339 10093 7303 3731 3630
"Map7d1" 9275 7991 19551 15124 22265 21196 26427 4056 4616
"Trappc3" 1560 3022 2847 2170 5023 2547 1873 1629 960
"Col8a2" 50 190 436 558 425 92 301 186 30
"Adprhl2" 630 807 1175 901 1665 1037 903 540 385
"Gm12945" 7 2 42 30 14 13 27 6 6
"Tekt2" 7 12 42 53 22 19 64 16 11
"Ago3" 664 646 1123 955 1340 1558 1965 605 574
"Ago1" 2921 3248 6849 6482 7030 4389 4938 1946 1624
"Ago4" 488 570 1124 1071 968 668 996 346 354
"Clspn" 90 116 1144 883 365 168 809 57 42
"5730409E04Rik" 188 203 537 786 372 168 242 121 119
"Psmb2" 1877 3411 4568 4086 7140 3989 3831 2086 1319
"Tfap2e" 39 14 14 12 31 46 7 12 28
"Ncdn" 1061 1153 2852 2531 2808 1614 2374 724 619
"AU040320" 3679 3901 2531 2043 8454 6116 2050 2108 2026
"Zmym4" 2216 2282 3492 2996 5441 4615 3267 1434 1341
"Sfpq" 14534 10409 40067 36544 34544 39222 46874 8231 10013
"Zmym1" 429 504 1175 1213 1451 1171 1107 376 328
"Zmym6" 651 784 795 649 1355 1051 841 831 611
"Tmem35b" 234 251 318 361 491 406 306 133 115
"Dlgap3" 18 6 2 3 16 10 4 3 1
"Smim12" 210 460 709 592 904 453 516 267 143
"Gja4" 5 39 309 294 83 43 461 45 22
"Gjb3" 189 1285 15078 9739 3176 1017 19041 770 303
"Gjb4" 363 1956 21218 13559 4895 1827 30468 1088 518
"Gjb5" 2 24 158 117 37 13 185 23 6
"Gm12947" 6 5 6 1 0 2 2 0 0
"CK137956" 0 0 0 0 0 0 0 0 0
"Csmd2" 3 1 6 6 4 4 6 1 2
"Csmd2os" 0 0 0 0 0 0 0 0 0
"Hmgb4" 0 0 0 0 0 0 0 0 0
"Zscan20" 155 200 212 265 404 225 159 120 91
"Tlr12" 1 0 1 0 1 0 0 0 0
"Phc2" 3221 4637 6988 4772 12729 7908 7340 2489 1592
"A3galt2" 94 115 590 617 452 266 650 29 45
"Zfp362" 951 1024 3029 2822 2141 1243 2163 625 587
"Trim62" 105 413 2309 2311 896 406 2699 350 99
"Azin2" 61 401 543 645 578 133 604 254 71
"Ak2" 3684 2948 5112 3815 6080 5373 3671 1347 1629
"1700086P04Rik" 10 3 5 0 5 9 1 0 2
"Rnf19b" 32584 13451 7554 8345 34755 42890 8260 4533 11628
"Tmem54" 91 776 230 84 996 187 61 494 101
"Hpca" 2 6 16 8 7 10 10 9 5
"Fndc5" 62 82 147 132 158 96 104 39 16
"S100pbp" 333 457 1213 1135 957 743 1181 327 223
"Yars" 1380 1926 3803 3485 3809 2651 2829 1195 857
"C77080" 5014 9197 2845 3238 18359 7677 2042 6574 3798
"Sync" 32 72 187 297 103 30 101 46 19
"Rbbp4" 4289 7596 16146 16066 17115 8341 11364 4714 2692
"Zbtb8os" 54 118 139 114 238 114 103 78 53
"Zbtb8a" 368 3415 245 284 5404 789 135 1451 348
"Zbtb8b" 47 104 82 70 189 50 57 73 33
"Bsdc1" 4097 5995 4553 3847 10999 6140 4041 4274 2774
"Tssk3" 5 2 10 9 10 10 10 3 3
"Fam229a" 8 7 13 4 13 12 7 5 3
"Marcksl1" 9194 6300 53341 51898 30382 27427 58193 3642 6418
"Hdac1" 331 961 1222 1415 2037 921 1074 540 269
"Lck" 19 29 767 493 100 42 586 34 16
"Fam167b" 1 2 7 8 10 4 16 1 1
"Eif3i" 5281 6624 9692 8028 13696 8623 6726 3381 2933
"Tmem234" 1537 2399 2282 1714 4512 2555 1643 1527 996
"Dcdc2b" 201 295 279 292 723 413 248 253 151
"Iqcc" 125 298 375 497 470 228 409 167 84
"Ccdc28b" 126 196 609 529 364 223 641 130 92
"Txlna" 3488 5197 9653 7430 11740 6877 9070 3177 2144
"100861795" 0 0 0 0 0 0 0 0 0
"100861783" 0 0 0 0 0 1 0 0 0
"Kpna6" 1833 2644 4547 4775 6321 4576 4972 1746 1337
"Tmem39b" 249 304 1048 835 629 418 664 145 134
"Khdrbs1" 4851 6035 12705 10821 15689 11224 11498 3898 3301
"Ptp4a2" 10958 8202 11721 9534 22595 22651 10186 4619 5332
"E330017L17Rik" 0 0 0 0 1 0 0 0 0
"Spocd1" 1 7 9 8 9 5 11 3 0
"1700003M07Rik" 0 0 1 4 3 1 5 0 0
"Adgrb2" 11 12 1653 1396 26 56 1452 6 10
"Col16a1" 8718 2925 109183 91308 13707 17681 111181 1198 4693
"Pef1" 1382 2290 2581 2679 3811 2089 1807 1141 824
"Hcrtr1" 3 2 101 89 7 2 157 1 0
"Tinagl1" 2648 2406 16944 12170 7926 6736 10994 1070 1400
"Gm853" 0 3 2 1 6 1 3 4 1
"Serinc2" 1250 5187 3917 3806 10199 3023 3471 3249 1090
"Fabp3" 6 6 23 32 36 46 21 5 7
"Zcchc17" 310 396 930 859 989 600 680 252 199
"Snrnp40" 831 1135 2820 2171 2729 1674 2201 771 573
"Nkain1" 67 275 829 604 639 120 924 67 22
"Pum1" 6409 6968 11075 8520 17295 11698 12333 4502 3921
"Snord85" 3 2 6 2 3 3 6 1 0
"Sdc3" 185 204 15818 11967 799 449 10661 143 160
"Laptm5" 4 3 55 49 29 23 74 27 12
"Matn1" 0 0 0 1 0 1 0 0 0
"Ptpru" 201 176 3097 3276 577 406 3736 107 126
"Mecr" 519 752 1311 1008 1492 970 941 389 354
"Srsf4" 2636 3027 5950 4504 6495 4386 5288 2218 1725
"Gm12992" 14 27 2 10 41 46 8 25 16
"Tmem200b" 107 389 229 239 599 185 179 189 73
"Epb41" 4405 6200 2758 2660 13833 10610 3097 4206 3194
"Oprd1" 2 2 1 3 3 0 4 6 0
"Gm13215" 103 104 158 60 78 48 33 21 23
"Ythdf2" 2320 1933 4765 4419 6212 5458 5603 1445 1617
"Rps15a-ps4" 2288 2380 4569 1989 2902 2212 1869 762 743
"Gmeb1" 1399 1568 2237 1702 3743 2873 2638 973 966
"Rnu11" 1 1 3 1 1 4 1 2 2
"Taf12" 319 436 761 767 981 638 581 284 209
"Rab42" 22 12 25 20 23 20 14 8 14
"Snhg12" 1146 939 1808 1351 1596 1387 1123 579 712
"Snora16a" 9 9 17 6 8 13 11 10 8
"Snora44" 4 0 6 1 4 13 6 5 6
"Snora61" 31 31 99 68 95 94 62 31 35
"Snord99" 30 40 62 53 81 74 53 26 37
"Trnau1ap" 631 845 1136 908 1616 896 906 567 416
"100862259" 20 16 13 9 16 19 8 22 14
"Rcc1" 845 1080 2679 1934 2436 1826 2221 547 542
"Snhg3" 32 38 21 16 23 31 20 21 22
"Snora73b" 0 0 0 0 0 0 0 0 0
"Snora73a" 77 86 66 33 93 134 35 97 77
"Phactr4" 2807 4612 2221 2412 10337 6092 2355 3450 2186
"Med18" 41 114 105 64 172 107 77 70 23
"Sesn2" 2739 1384 2531 2812 4539 5197 1780 596 845
"Atpif1" 1938 4104 6047 5068 8564 3835 4851 2515 1471
"Dnajc8" 1057 1529 3161 2930 3343 2109 2912 1105 786
"Ptafr" 693 301 23 39 1840 1414 58 104 199
"Eya3" 1286 2632 1363 1237 5563 2876 1265 1553 885
"Xkr8" 23 17 51 84 41 40 53 22 12
"Smpdl3b" 430 244 1507 1084 860 726 889 104 212
"Rpa2" 182 261 1369 1122 534 262 761 110 96
"Themis2" 3 4 29 9 5 7 10 4 0
"Ppp1r8" 554 691 1971 1598 1900 1333 1245 410 327
"Stx12" 2319 3650 4752 4070 8274 5603 5689 2652 1887
"Fam76a" 1716 2379 2362 2021 5489 3693 2776 1535 1064
"Fgr" 53 20 26 35 112 83 47 11 37
"Ahdc1" 3088 1913 9963 9173 6011 4343 8263 1155 1222
"Wasf2" 5586 6273 7983 7571 12691 8685 6253 3321 3018
"Gpr3" 587 390 6204 4816 1210 1355 5084 224 376
"Cd164l2" 302 1038 212 202 2127 644 235 708 253
"Map3k6" 1992 1419 2625 1795 4180 4791 3908 875 1479
"Sytl1" 1100 2423 2119 2221 4360 1824 2265 1627 866
"Tmem222" 873 1025 1117 962 2202 1422 895 571 509
"Wdtc1" 1784 4729 2764 2664 9004 3306 2316 2684 1209
"Slc9a1" 4579 7793 10929 10389 17009 8646 12137 4798 3059
"Mir5122" 0 0 0 0 0 0 0 0 0
"Tent5b" 581 496 1928 2423 927 534 1360 374 693
"Trnp1" 14 11 566 503 20 22 420 3 13
"Kdf1" 790 972 1068 1159 2561 1622 864 647 503
"Nudc" 1945 3744 5540 3859 6683 3112 3260 2077 1117
"Nr0b2" 0 0 0 0 0 0 0 0 0
"Gpatch3" 262 219 386 341 591 535 256 114 148
"Gpn2" 368 609 982 745 1347 748 634 306 156
"Sfn" 18548 24454 118154 100965 76074 51799 130637 17083 13499
"Zdhhc18" 3080 4578 2992 2174 9494 5970 3652 2734 1781
"Gm13213" 4 5 12 1 1 2 1 0 0
"Pigv" 220 335 224 257 758 392 183 189 109
"Arid1a" 8479 7390 16706 14071 19323 13980 16036 4985 4627
"Rps6ka1" 2310 3412 8112 6467 7828 4101 7850 1995 1290
"Hmgn2" 100 178 401 252 237 133 258 155 85
"Dhdds" 1317 1531 2428 2413 3339 2182 1933 774 745
"Lin28a" 0 0 0 0 0 0 0 0 0
"Crybg2" 169 102 32 14 466 402 46 159 118
"Cd52" 1 0 4 4 12 3 8 1 1
"Ubxn11" 92 251 138 108 362 163 132 176 81
"Sh3bgrl3" 537 780 1495 1443 1907 1086 1245 416 396
"Cep85" 756 1059 1293 1101 2455 1797 1283 620 422
"Gm7534" 0 0 1 0 1 0 1 0 0
"Catsper4" 27 44 40 24 82 60 45 20 22
"Cnksr1" 2542 2989 1837 1271 4889 4241 3050 1897 2210
"Zfp593" 477 468 719 525 897 643 796 236 247
"E130218I03Rik" 3 1 1 0 2 0 3 1 2
"Grrp1" 32 23 60 33 74 63 97 33 10
"Pdik1l" 194 291 495 286 602 310 480 218 120
"Trim63" 0 3 0 1 5 0 2 1 0
"Slc30a2" 211 169 167 111 375 290 115 51 49
"Extl1" 4225 1554 125 148 3089 4142 103 762 1806
"Pafah2" 395 1061 858 759 1971 813 688 757 317
"1700021N21Rik" 0 0 10 8 0 0 6 0 0
"Stmn1" 187 256 2421 1799 573 270 1710 119 92
"Paqr7" 198 531 291 408 974 278 148 347 145
"Aunip" 3 18 49 39 28 17 24 3 5
"Mtfr1l" 1094 2754 2032 1615 4962 2301 1879 1595 917
"Selenon" 985 1779 1792 1871 4415 1894 1534 1133 635
"Man1c1" 957 1982 170 179 3870 1560 200 1434 741
"Ldlrap1" 1112 1645 4015 3096 3299 2015 4216 1239 745
"Maco1" 2887 3991 4217 3822 10393 6940 4271 2971 2001
"Rhd" 3 4 7 0 5 1 5 1 1
"Tmem50a" 1688 3393 3890 3478 6207 2893 3111 2325 1136
"Rsrp1" 6251 5233 4998 4323 6658 7366 4257 3182 2856
"Syf2" 1333 1493 1818 1669 2672 2065 1347 879 770
"100862090" 0 0 0 0 0 0 0 0 0
"Runx3" 1 1 12 13 3 1 19 6 3
"Clic4" 12978 18260 79151 82182 36138 24170 136774 9759 6169
"Srrm1" 6325 7890 9035 8311 17065 12862 10016 6148 4439
"Ncmap" 44 338 32 33 621 131 18 186 70
"100503475" 0 0 0 1 0 0 0 0 0
"Rcan3" 497 1311 910 1064 2251 1042 608 669 374
"Mir700" 1 1 1 1 0 0 1 0 0
"Nipal3" 698 2426 781 969 4573 1344 682 1399 609
"Stpg1" 8 23 0 1 44 24 3 17 2
"Grhl3" 84 106 230 100 196 139 119 238 28
"1700029M20Rik" 2 1 22 30 1 9 21 0 2
"Ifnlr1" 1715 2215 1140 923 4176 1853 992 1791 1245
"Il22ra1" 5 36 7 14 59 15 12 22 11
"Myom3" 8 8 34 33 21 8 39 10 2
"Srsf10" 1980 2397 7035 3899 5162 5140 7152 2286 1593
"Pnrc2" 1649 2655 2816 2181 4915 2968 1953 2254 1338
"Cnr2" 2 3 3 2 5 0 5 1 0
"Fuca1" 1628 6223 2522 1986 11429 3211 1941 3171 1183
"Hmgcl" 512 1531 927 675 2027 644 540 780 388
"Gale" 352 1568 305 221 2723 849 181 635 299
"Lypla2" 1635 2659 1956 1358 5661 3197 1609 1456 1064
"Pithd1" 814 968 2080 2050 2723 1678 1704 633 531
"Eloa" 3565 2816 5872 5918 7872 6840 5180 1863 2420
"Rpl11" 213 257 425 228 386 282 306 112 111
"Id3" 844 5030 1940 2816 5357 1270 1436 2766 763
"E2f2" 54 149 109 104 287 88 44 85 27
"Asap3" 478 1056 1463 870 1791 661 2962 868 369
"Tcea3" 76 372 176 204 609 115 218 296 120
"Zfp46" 3541 3348 3651 3142 6133 3429 3538 1721 2042
"Hnrnpr" 2117 2847 5817 4131 5678 3736 4981 2147 1595
"Gm17388" 13 17 21 24 49 36 67 19 12
"Htr1d" 30 86 2325 2475 127 51 3028 42 19
"6030445D17Rik" 4 11 13 10 11 0 7 11 4
"Luzp1" 4255 5361 17657 15138 13878 10663 27135 4487 3046
