	"10_6_5_11" "9_6_5_11" "purep53" "JMS8-2" "JMS8-3" "JMS8-4" "JMS8-5" "JMS9-P7c" "JMS9-P8c"
"Cnot11" 483 634 2420 2221 1755 1295 2421 400 311
"Snord89" 36 15 91 52 19 57 95 8 6
"Rnf149" 3246 2234 11473 7530 6493 8532 11746 1320 1765
"Creg2" 2 0 113 91 1 6 145 0 0
"Rfx8" 2 2 3 3 4 1 7 0 3
"Gm3646" 0 0 2 0 0 0 1 1 0
"1700066B17Rik" 1 1 0 0 0 0 0 0 0
"Map4k4" 8639 5904 20216 14858 16180 13034 16675 3914 4621
"Gm16894" 0 0 2 5 1 0 2 1 0
"Il1r2" 14 37 21 37 26 132 49 25 24
"Il1r1" 1180 1922 538 580 3381 2004 854 1263 895
"Il1rl2" 214 251 853 689 531 420 724 180 155
"Il1rl1" 19 18 99 100 31 79 236 20 16
"Il18r1" 575 1439 107 115 2893 1389 204 1223 570
"Il18rap" 97 123 12 11 79 104 23 19 16
"Slc9a4" 74 17 7 8 52 141 20 1 25
"Slc9a2" 183 54 51 53 175 296 38 25 83
"Mfsd9" 113 118 110 116 247 148 71 49 68
"Tmem182" 1 1 39 10 4 0 22 5 1
"4930448I06Rik" 0 0 0 0 0 0 0 0 0
"Pantr1" 0 0 0 0 0 0 0 0 0
"Pou3f3" 0 0 1 3 3 1 1 0 0
"2900092D14Rik" 0 0 0 0 0 1 0 0 0
"Mrps9" 856 1138 1695 1340 2141 1275 1142 791 578
"Gpr45" 0 1 3 5 1 0 1 1 0
"Tgfbrap1" 1029 1201 1480 1850 3097 2369 1373 836 601
"AI597479" 315 645 914 1137 1325 588 691 461 232
"Fhl2" 1016 1519 5131 3973 1630 1605 7806 583 912
"Gm8210" 411 623 1238 883 1445 859 946 321 236
"Nck2" 3434 15170 4989 4541 22253 6804 4039 9051 2938
"100861934" 12 15 6 6 30 38 7 23 12
"1500015O10Rik" 89 60 8603 8794 140 192 7439 22 51
"Uxs1" 285 758 658 413 1396 510 374 409 206
"100503192" 1345 1661 2018 1507 2832 1884 1321 744 599
"Tpp2" 3367 3219 7981 5349 8862 8863 9938 2625 2709
"Mettl21c" 1 1 4 3 0 9 5 1 2
"Tex30" 476 443 1168 1003 1170 1056 799 237 310
"Kdelc1" 268 433 3440 3102 1179 660 2899 386 238
"Bivm" 218 393 489 535 752 316 288 232 182
"Ercc5" 674 666 1912 1887 1500 1192 1925 485 549
